"location","hits","keyword","geo","gprop"
"Chandigarh",39,"pmkvy","IN","web"
"Puducherry",34,"pmkvy","IN","web"
"Andhra Pradesh",26,"pmkvy","IN","web"
"Gujarat",25,"pmkvy","IN","web"
"Kerala",21,"pmkvy","IN","web"
"Tamil Nadu",20,"pmkvy","IN","web"
"Karnataka",16,"pmkvy","IN","web"
"Maharashtra",15,"pmkvy","IN","web"
"Nagaland",NA,"pmkvy","IN","web"
"Sikkim",NA,"pmkvy","IN","web"
"Dadra and Nagar Haveli",NA,"pmkvy","IN","web"
"Mizoram",NA,"pmkvy","IN","web"
"Daman and Diu",NA,"pmkvy","IN","web"
"Meghalaya",NA,"pmkvy","IN","web"
"Arunachal Pradesh",NA,"pmkvy","IN","web"
"Goa",NA,"pmkvy","IN","web"
"Andaman and Nicobar Islands",NA,"pmkvy","IN","web"
"Lakshadweep",NA,"pmkvy","IN","web"
"Odisha",100,"skill india","IN","web"
"Jharkhand",97,"skill india","IN","web"
"Haryana",78,"skill india","IN","web"
"Uttarakhand",70,"skill india","IN","web"
"Bihar",68,"skill india","IN","web"
"Himachal Pradesh",64,"skill india","IN","web"
"Chhattisgarh",64,"skill india","IN","web"
"Delhi",60,"skill india","IN","web"
"Assam",59,"skill india","IN","web"
"Uttar Pradesh",54,"skill india","IN","web"
"West Bengal",52,"skill india","IN","web"
"Jammu and Kashmir",49,"skill india","IN","web"
"Rajasthan",48,"skill india","IN","web"
"Madhya Pradesh",47,"skill india","IN","web"
"Punjab",45,"skill india","IN","web"
"Puducherry",45,"skill india","IN","web"
"Manipur",45,"skill india","IN","web"
"Gujarat",40,"skill india","IN","web"
"Karnataka",39,"skill india","IN","web"
"Chandigarh",39,"skill india","IN","web"
"Maharashtra",37,"skill india","IN","web"
"Andaman and Nicobar Islands",37,"skill india","IN","web"
"Telangana",37,"skill india","IN","web"
"Goa",34,"skill india","IN","web"
"Kerala",31,"skill india","IN","web"
"Tamil Nadu",31,"skill india","IN","web"
"Andhra Pradesh",30,"skill india","IN","web"
"Nagaland",NA,"skill india","IN","web"
"Tripura",NA,"skill india","IN","web"
"Meghalaya",NA,"skill india","IN","web"
"Sikkim",NA,"skill india","IN","web"
"Mizoram",NA,"skill india","IN","web"
"Daman and Diu",NA,"skill india","IN","web"
"Dadra and Nagar Haveli",NA,"skill india","IN","web"
"Arunachal Pradesh",NA,"skill india","IN","web"
"Lakshadweep",NA,"skill india","IN","web"
"Bihar",100,"Pradhan Mantri Kaushal Vikas","IN","web"
"Uttar Pradesh",96,"Pradhan Mantri Kaushal Vikas","IN","web"
"Madhya Pradesh",71,"Pradhan Mantri Kaushal Vikas","IN","web"
"Haryana",56,"Pradhan Mantri Kaushal Vikas","IN","web"
"Rajasthan",39,"Pradhan Mantri Kaushal Vikas","IN","web"
"Delhi",38,"Pradhan Mantri Kaushal Vikas","IN","web"
"West Bengal",36,"Pradhan Mantri Kaushal Vikas","IN","web"
"Telangana",27,"Pradhan Mantri Kaushal Vikas","IN","web"
"Gujarat",20,"Pradhan Mantri Kaushal Vikas","IN","web"
"Maharashtra",16,"Pradhan Mantri Kaushal Vikas","IN","web"
"Karnataka",14,"Pradhan Mantri Kaushal Vikas","IN","web"
"Daman and Diu",NA,"Pradhan Mantri Kaushal Vikas","IN","web"
"Dadra and Nagar Haveli",NA,"Pradhan Mantri Kaushal Vikas","IN","web"
"Jharkhand",NA,"Pradhan Mantri Kaushal Vikas","IN","web"
"Nagaland",NA,"Pradhan Mantri Kaushal Vikas","IN","web"
"Uttarakhand",NA,"Pradhan Mantri Kaushal Vikas","IN","web"
"Chhattisgarh",NA,"Pradhan Mantri Kaushal Vikas","IN","web"
"Arunachal Pradesh",NA,"Pradhan Mantri Kaushal Vikas","IN","web"
"Himachal Pradesh",NA,"Pradhan Mantri Kaushal Vikas","IN","web"
"Meghalaya",NA,"Pradhan Mantri Kaushal Vikas","IN","web"
"Punjab",NA,"Pradhan Mantri Kaushal Vikas","IN","web"
"Odisha",NA,"Pradhan Mantri Kaushal Vikas","IN","web"
"Mizoram",NA,"Pradhan Mantri Kaushal Vikas","IN","web"
"Assam",NA,"Pradhan Mantri Kaushal Vikas","IN","web"
"Jammu and Kashmir",NA,"Pradhan Mantri Kaushal Vikas","IN","web"
"Manipur",NA,"Pradhan Mantri Kaushal Vikas","IN","web"
"Chandigarh",NA,"Pradhan Mantri Kaushal Vikas","IN","web"
"Tripura",NA,"Pradhan Mantri Kaushal Vikas","IN","web"
"Puducherry",NA,"Pradhan Mantri Kaushal Vikas","IN","web"
"Kerala",NA,"Pradhan Mantri Kaushal Vikas","IN","web"
"Andhra Pradesh",NA,"Pradhan Mantri Kaushal Vikas","IN","web"
"Tamil Nadu",NA,"Pradhan Mantri Kaushal Vikas","IN","web"
"Goa",NA,"Pradhan Mantri Kaushal Vikas","IN","web"
"Andaman and Nicobar Islands",NA,"Pradhan Mantri Kaushal Vikas","IN","web"
"Lakshadweep",NA,"Pradhan Mantri Kaushal Vikas","IN","web"
"Sikkim",NA,"Pradhan Mantri Kaushal Vikas","IN","web"
"Himachal Pradesh",100,"beti bachao beti padhao","IN","web"
"Haryana",93,"beti bachao beti padhao","IN","web"
"Uttarakhand",71,"beti bachao beti padhao","IN","web"
"Jammu and Kashmir",69,"beti bachao beti padhao","IN","web"
"Uttar Pradesh",63,"beti bachao beti padhao","IN","web"
"Chhattisgarh",52,"beti bachao beti padhao","IN","web"
"Jharkhand",49,"beti bachao beti padhao","IN","web"
"Rajasthan",46,"beti bachao beti padhao","IN","web"
"Bihar",44,"beti bachao beti padhao","IN","web"
"Punjab",34,"beti bachao beti padhao","IN","web"
"Chandigarh",33,"beti bachao beti padhao","IN","web"
"Delhi",30,"beti bachao beti padhao","IN","web"
"Madhya Pradesh",27,"beti bachao beti padhao","IN","web"
"Odisha",27,"beti bachao beti padhao","IN","web"
"Gujarat",25,"beti bachao beti padhao","IN","web"
"Telangana",25,"beti bachao beti padhao","IN","web"
"Goa",22,"beti bachao beti padhao","IN","web"
"Assam",16,"beti bachao beti padhao","IN","web"
"Maharashtra",14,"beti bachao beti padhao","IN","web"
"West Bengal",13,"beti bachao beti padhao","IN","web"
"Andhra Pradesh",7,"beti bachao beti padhao","IN","web"
"Karnataka",7,"beti bachao beti padhao","IN","web"
"Kerala",5,"beti bachao beti padhao","IN","web"
"Tamil Nadu",3,"beti bachao beti padhao","IN","web"
"Dadra and Nagar Haveli",NA,"beti bachao beti padhao","IN","web"
"Arunachal Pradesh",NA,"beti bachao beti padhao","IN","web"
"Sikkim",NA,"beti bachao beti padhao","IN","web"
"Daman and Diu",NA,"beti bachao beti padhao","IN","web"
"Nagaland",NA,"beti bachao beti padhao","IN","web"
"Mizoram",NA,"beti bachao beti padhao","IN","web"
"Andaman and Nicobar Islands",NA,"beti bachao beti padhao","IN","web"
"Tripura",NA,"beti bachao beti padhao","IN","web"
"Manipur",NA,"beti bachao beti padhao","IN","web"
"Meghalaya",NA,"beti bachao beti padhao","IN","web"
"Puducherry",NA,"beti bachao beti padhao","IN","web"
"Lakshadweep",NA,"beti bachao beti padhao","IN","web"
"Dadra and Nagar Haveli",NA,"connect to PM","IN","web"
"Nagaland",NA,"connect to PM","IN","web"
"Jammu and Kashmir",NA,"connect to PM","IN","web"
"Jharkhand",NA,"connect to PM","IN","web"
"Chhattisgarh",NA,"connect to PM","IN","web"
"Himachal Pradesh",NA,"connect to PM","IN","web"
"Uttar Pradesh",NA,"connect to PM","IN","web"
"Uttarakhand",NA,"connect to PM","IN","web"
"Haryana",NA,"connect to PM","IN","web"
"Andhra Pradesh",NA,"connect to PM","IN","web"
"Rajasthan",NA,"connect to PM","IN","web"
"Karnataka",NA,"connect to PM","IN","web"
"Madhya Pradesh",NA,"connect to PM","IN","web"
"Punjab",NA,"connect to PM","IN","web"
"Kerala",NA,"connect to PM","IN","web"
"Delhi",NA,"connect to PM","IN","web"
"West Bengal",NA,"connect to PM","IN","web"
"Telangana",NA,"connect to PM","IN","web"
"Assam",NA,"connect to PM","IN","web"
"Odisha",NA,"connect to PM","IN","web"
"Maharashtra",NA,"connect to PM","IN","web"
"Chandigarh",NA,"connect to PM","IN","web"
"Tamil Nadu",NA,"connect to PM","IN","web"
"Bihar",NA,"connect to PM","IN","web"
"Gujarat",NA,"connect to PM","IN","web"
"Andaman and Nicobar Islands",NA,"connect to PM","IN","web"
"Arunachal Pradesh",NA,"connect to PM","IN","web"
"Daman and Diu",NA,"connect to PM","IN","web"
"Goa",NA,"connect to PM","IN","web"
"Lakshadweep",NA,"connect to PM","IN","web"
"Meghalaya",NA,"connect to PM","IN","web"
"Manipur",NA,"connect to PM","IN","web"
"Mizoram",NA,"connect to PM","IN","web"
"Puducherry",NA,"connect to PM","IN","web"
"Sikkim",NA,"connect to PM","IN","web"
"Tripura",NA,"connect to PM","IN","web"
"Daman and Diu",100,"narendra modi","IN","web"
"Gujarat",99,"narendra modi","IN","web"
"Dadra and Nagar Haveli",95,"narendra modi","IN","web"
"Arunachal Pradesh",81,"narendra modi","IN","web"
"Tripura",79,"narendra modi","IN","web"
"Jharkhand",78,"narendra modi","IN","web"
"Rajasthan",78,"narendra modi","IN","web"
"Chhattisgarh",73,"narendra modi","IN","web"
"Uttarakhand",71,"narendra modi","IN","web"
"Sikkim",70,"narendra modi","IN","web"
"Odisha",67,"narendra modi","IN","web"
"Maharashtra",66,"narendra modi","IN","web"
"Uttar Pradesh",66,"narendra modi","IN","web"
"Karnataka",65,"narendra modi","IN","web"
"Goa",65,"narendra modi","IN","web"
"Madhya Pradesh",64,"narendra modi","IN","web"
"Bihar",63,"narendra modi","IN","web"
"Assam",59,"narendra modi","IN","web"
"West Bengal",53,"narendra modi","IN","web"
"Delhi",53,"narendra modi","IN","web"
"Haryana",52,"narendra modi","IN","web"
"Meghalaya",50,"narendra modi","IN","web"
"Nagaland",49,"narendra modi","IN","web"
"Andhra Pradesh",48,"narendra modi","IN","web"
"Manipur",44,"narendra modi","IN","web"
"Kerala",43,"narendra modi","IN","web"
"Himachal Pradesh",42,"narendra modi","IN","web"
"Jammu and Kashmir",40,"narendra modi","IN","web"
"Punjab",38,"narendra modi","IN","web"
"Mizoram",38,"narendra modi","IN","web"
"Chandigarh",35,"narendra modi","IN","web"
"Puducherry",35,"narendra modi","IN","web"
"Telangana",34,"narendra modi","IN","web"
"Tamil Nadu",33,"narendra modi","IN","web"
"Andaman and Nicobar Islands",24,"narendra modi","IN","web"
"Lakshadweep",NA,"narendra modi","IN","web"
"Karnataka",100,"youth empowerment","IN","web"
"Delhi",99,"youth empowerment","IN","web"
"Tamil Nadu",87,"youth empowerment","IN","web"
"Maharashtra",74,"youth empowerment","IN","web"
"Mizoram",NA,"youth empowerment","IN","web"
"Sikkim",NA,"youth empowerment","IN","web"
"Nagaland",NA,"youth empowerment","IN","web"
