"date","hits","keyword","geo","gprop","category"
2015-01-01,"26","digital india","IN","web",0
2015-02-01,"25","digital india","IN","web",0
2015-03-01,"22","digital india","IN","web",0
2015-04-01,"21","digital india","IN","web",0
2015-05-01,"20","digital india","IN","web",0
2015-06-01,"27","digital india","IN","web",0
2015-07-01,"88","digital india","IN","web",0
2015-08-01,"32","digital india","IN","web",0
2015-09-01,"89","digital india","IN","web",0
2015-10-01,"53","digital india","IN","web",0
2015-11-01,"36","digital india","IN","web",0
2015-12-01,"34","digital india","IN","web",0
2016-01-01,"34","digital india","IN","web",0
2016-02-01,"34","digital india","IN","web",0
2016-03-01,"25","digital india","IN","web",0
2016-04-01,"25","digital india","IN","web",0
2016-05-01,"25","digital india","IN","web",0
2016-06-01,"33","digital india","IN","web",0
2016-07-01,"28","digital india","IN","web",0
2016-08-01,"29","digital india","IN","web",0
2016-09-01,"37","digital india","IN","web",0
2016-10-01,"30","digital india","IN","web",0
2016-11-01,"28","digital india","IN","web",0
2016-12-01,"32","digital india","IN","web",0
2017-01-01,"40","digital india","IN","web",0
2017-02-01,"34","digital india","IN","web",0
2017-03-01,"30","digital india","IN","web",0
2017-04-01,"26","digital india","IN","web",0
2017-05-01,"26","digital india","IN","web",0
2017-06-01,"28","digital india","IN","web",0
2017-07-01,"27","digital india","IN","web",0
2017-08-01,"32","digital india","IN","web",0
2017-09-01,"31","digital india","IN","web",0
2017-10-01,"30","digital india","IN","web",0
2017-11-01,"32","digital india","IN","web",0
2017-12-01,"32","digital india","IN","web",0
2018-01-01,"33","digital india","IN","web",0
2018-02-01,"32","digital india","IN","web",0
2018-03-01,"29","digital india","IN","web",0
2018-04-01,"25","digital india","IN","web",0
2018-05-01,"26","digital india","IN","web",0
2018-06-01,"28","digital india","IN","web",0
2018-07-01,"28","digital india","IN","web",0
2018-08-01,"27","digital india","IN","web",0
2018-09-01,"24","digital india","IN","web",0
2018-10-01,"22","digital india","IN","web",0
2018-11-01,"19","digital india","IN","web",0
2018-12-01,"20","digital india","IN","web",0
2004-01-01,"76","digitalization","IN","web",0
2004-02-01,"0","digitalization","IN","web",0
2004-03-01,"96","digitalization","IN","web",0
2004-04-01,"0","digitalization","IN","web",0
2004-05-01,"62","digitalization","IN","web",0
2004-06-01,"0","digitalization","IN","web",0
2004-07-01,"55","digitalization","IN","web",0
2004-08-01,"52","digitalization","IN","web",0
2004-09-01,"0","digitalization","IN","web",0
2004-10-01,"0","digitalization","IN","web",0
2004-11-01,"0","digitalization","IN","web",0
2004-12-01,"100","digitalization","IN","web",0
2005-01-01,"48","digitalization","IN","web",0
2005-02-01,"0","digitalization","IN","web",0
2005-03-01,"41","digitalization","IN","web",0
